id,restraunt_camis,inspection_date,inspection_type,action,score,grade,grade_date
1,50134535,2023-07-24,Pre-permit (Operational) / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
2,50123472,2023-11-24,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,7,A,2023-11-24
3,50143879,2024-02-01,Trans Fat / Initial Inspection,No violations were recorded at the time of this inspection.,,,
4,41139432,2023-12-29,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
5,50147179,2024-09-09,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
6,41092609,2023-05-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,10,A,2023-05-16
7,41319774,2024-10-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,23,,
8,41221266,2023-02-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,9,A,2023-02-01
9,50004862,2024-04-04,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,31,,
10,50127720,2025-06-14,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
11,50137282,2025-02-12,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,0,Z,2025-02-12
12,50040703,2023-06-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,36,,
13,50113072,2024-12-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,36,,
14,41053236,2025-06-07,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
15,50096074,2023-05-10,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
16,50124376,2023-06-14,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,20,,
17,41017390,2024-11-22,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,10,A,2024-11-22
18,50100671,2024-06-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
19,50099434,2024-10-19,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
20,50087667,2023-04-18,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,10,A,2023-04-18
21,50040448,2025-07-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,7,A,2025-07-07
22,50012808,2023-08-15,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
23,50002654,2025-04-26,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
24,50116136,2025-05-23,Cycle Inspection / Reopening Inspection,Establishment re-closed by DOHMH.,82,,
25,50036496,2024-06-05,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,2,A,2024-06-05
26,41006765,2024-04-10,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
27,50120864,2023-06-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
28,50138139,2025-08-22,Administrative Miscellaneous / Re-inspection,Violations were cited in the following area(s).,,,
29,50014408,2025-05-29,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,52,,
30,50013794,2024-05-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2024-05-20
31,50141096,2024-10-13,Pre-permit (Operational) / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2024-10-13
32,50013405,2024-04-17,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,31,C,2024-04-17
33,50094746,2024-11-25,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2024-11-25
34,50117716,2025-06-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,42,,
35,50145732,2025-07-28,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2025-07-28
36,50123514,2024-06-17,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,23,,
37,50130528,2025-01-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,53,,
38,40396231,2025-01-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,46,,
39,50088559,2025-01-14,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
40,50130717,2024-10-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,56,,
41,50124313,2025-04-18,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,23,Z,2025-04-18
42,41436019,2024-05-08,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,0,P,2024-05-08
43,50062884,2023-12-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,10,A,2023-12-20
44,50120704,2024-07-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,49,,
45,41471993,2023-10-10,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,0,,
46,50035574,2025-01-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,49,,
47,41698701,2025-04-28,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,56,,
48,50077505,2025-05-23,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,33,,
49,41172425,2023-02-08,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
50,50067032,2024-12-04,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
51,50090750,2025-06-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,43,,
52,50060498,2023-02-26,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,42,,
53,50111235,2025-06-04,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,54,,
54,50045110,2025-02-01,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2025-02-01
55,50164696,2025-04-28,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,25,N,
56,50073616,2024-03-28,Smoke-Free Air Act / Re-inspection,Violations were cited in the following area(s).,,,
57,50048225,2023-03-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
58,50062743,2024-07-19,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,0,Z,2024-07-19
59,50067421,2024-06-25,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
60,50094921,2023-07-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
61,50110728,2024-04-29,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,43,,
62,50137610,2024-09-09,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
63,50143605,2023-11-13,Pre-permit (Non-operational) / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
64,50072375,2025-07-23,Administrative Miscellaneous / Re-inspection,Violations were cited in the following area(s).,,,
65,50033770,2024-06-06,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2024-06-06
66,50105437,2025-05-08,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
67,50169439,2025-06-17,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,18,N,
68,50156262,2025-02-19,Pre-permit (Operational) / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2025-02-19
69,50113656,2023-10-05,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,21,,
