camis,name,boro,building,street,zipcode,phone,cuisine
50134535,TAQUITO,Manhattan,96,SOUTH STREET,10038,6467624749,Mexican
50123472,ISHI,Brooklyn,70,5 AVENUE,11217,9179091935,Seafood
50143879,BLUELINE FRY PLANTAIN,Brooklyn,1610,NOSTRAND AVENUE,11226,3472405383,Caribbean
41139432,THE HAAB MEXICAN CAFE,Queens,4722,48 AVENUE,11377,7187294838,Mexican
50147179,APPLEBEE'S,Manhattan,205,WEST 50 STREET,10019,2018184669,American
41092609,10TH AVENUE COOKSHOP,Manhattan,156,10 AVENUE,10011,2129244440,American
41319774,BAR 43,Queens,43-06,43 STREET,11104,7183613090,American
41221266,THAI SON,Queens,4010,74 STREET,11373,7184766805,Southeast Asian
50004862,UP THAI,Manhattan,1411,2 AVENUE,10021,2122561188,Thai
50127720,MASALAWALA & SONS,Brooklyn,365,5 AVENUE,11215,2123738900,Indian
50137282,GOLDEN DRAGON,Brooklyn,394,METROPOLITAN AVENUE,11211,6463594855,Chinese
50040703,BEBE FRITAY,Brooklyn,826,ROGERS AVENUE,11226,7186761636,Creole
50113072,TWIN DONUTS,Bronx,3,WEST FORDHAM ROAD,10468,7186180004,American
41053236,DIZZY'S CLUB,Manhattan,10,COLUMBUS CIRCLE,10019,2122589585,American
50096074,UPCAKE SUPPLIES AND TREAT SHOP,Bronx,3511,BOSTON ROAD,10469,3472856911,Bakery Products/Desserts
50124376,HEY THAI,Manhattan,127,JOHN STREET,10038,6466504823,Thai
41017390,EUROPAN CAFE,Manhattan,672,8 AVENUE,10036,2127304442,American
50100671,SONG BO YUAN,Manhattan,36,ELDRIDGE STREET,10002,2122192228,Chinese
50099434,NOWON,Manhattan,507,EAST 6 STREET,10009,5166607858,Korean
50087667,KOREAN EXPRESS,Manhattan,807,LEXINGTON AVENUE,10065,2127550120,Korean
50040448,DUNKIN,Queens,3105,QUEENS BLVD,11101,7184826572,Donuts
50012808,CALLE DAO,Manhattan,38,WEST 39 STREET,10018,2122219002,Latin American
50002654,HOMEMADE TAQUERIA,Queens,7103,GRAND AVE,11378,7187790771,Mexican
50116136,SMART 3,Queens,16845,HILLSIDE AVE,11432,9299903996,Bangladeshi
50036496,TAQUERIA ACATLAN,Brooklyn,298,IRVING AVENUE,11237,7184562095,Mexican
41006765,DOS CAMINOS,Manhattan,675,HUDSON STREET,10014,2126992400,Mexican
50120864,TACOS AL SUADERO,Queens,3904,103RD ST,11368,7184572000,Mexican
50138139,IGAM,Brooklyn,1921,AVENUE U,11229,3476108875,Coffee/Tea
50014408,MCDONALD'S,Brooklyn,7124,3 AVENUE,11209,7184910223,Hamburgers
50013794,FUEL FEVER,Brooklyn,8615,18 AVENUE,11214,7182598448,American
50141096,SPIN,Manhattan,1626,BROADWAY,10019,6122208235,American
50013405,WAH YONG KITCHEN,Bronx,112,WEST 168 STREET,10452,7189921110,Chinese
50094746,EL VAQUERITO,Queens,5411,NORTHERN BLVD,11377,9294243323,Mexican
50117716,STIX KOSHER RESTAURANT,Queens,10115,QUEENS BLVD,11375,9178320452,Middle Eastern
50145732,KENNEDY FRIED CHICKEN,Bronx,921,PROSPECT AVENUE,10459,9176609371,Chicken
50123514,OKEY,Brooklyn,445,ALBEE SQUARE,11201,9292457636,Spanish
50130528,KNAPP ST PIZZA II,Brooklyn,261,AVENUE X,11223,7183760174,Pizza
40396231,DELMONICO GOURMET,Manhattan,375,LEXINGTON AVENUE,10017,5163697531,American
50088559,TWO BOOTS,Manhattan,42,AVENUE A,10009,2122541919,Pizza
50130717,LAS MANOS QUIETAS,Queens,4313,BROADWAY,11103,6316636936,Mexican
50124313,CAFE XOCHIMILCO,Queens,3801,29TH ST,11101,9293283573,Spanish
41436019,TAQUERIA EL FOGON,Brooklyn,1050,FLUSHING AVENUE,11237,7184977445,Mexican
50062884,MEKONG BK,Brooklyn,250,DEKALB AVENUE,11205,3479873712,Southeast Asian
50120704,LITTLE GIO'S PIZZA,Manhattan,26,1 AVENUE,10009,2124778020,Pizza
41471993,NEW MEI MEI CHINESE RESTAURANT,Brooklyn,3566,NOSTRAND AVENUE,11229,7187431054,Chinese
50035574,BREAD & BUTTER,Manhattan,303,5 AVENUE,10016,2124480444,American
41698701,CURRY KING,Manhattan,942,COLUMBUS AVENUE,10025,6466697826,Pakistani
50077505,KIN'D,Queens,19203,UNION TPKE,11366,7184680888,Thai
41172425,EL POLLO RESTAURANT AND BAR,Staten Island,558560,RICHMOND ROAD,,7188154928,Latin American
50067032,TAQUERIA ON TENTH,Manhattan,,10TH AVE,10001,2126958080,American
50090750,NB WING WONG,Manhattan,42,BOWERY,10013,6464907468,Chinese
50060498,AROQA,Manhattan,206,9 AVENUE,10011,6466785471,Indian
50111235,BLVD DINER,Queens,4311,QUEENS BLVD,11104,7188061499,American
50045110,EMPLOYEE FEEDING,Manhattan,4,PENN PLZ,10121,2124656273,American
50164696,BAGELS AND CREAM,Manhattan,924,AMSTERDAM AVENUE,10025,2035455266,American
50073616,OVEN GRILL CHILL LOUNGE,Queens,4212,BROADWAY,11103,9173964249,Mexican
50048225,TOUS LES JOURS,Manhattan,31,WEST 32 STREET,10001,2129679661,Bakery Products/Desserts
50062743,BULBAP GRILL,Brooklyn,646,MANHATTAN AVENUE,11222,7183833663,Korean
50067421,PRECIOUS ISLAND TEA SHOP,Staten Island,366,NEW DORP LANE,10306,7186682700,Chinese
50094921,NEW DRAGON,Manhattan,2413A,2 AVENUE,10035,2124271786,Chinese
50110728,THAI ROS THIP,Brooklyn,664,KNICKERBOCKER AVENUE,11221,9292941919,Thai
50137610,MARI:NE,Manhattan,135,WEST 41 STREET,10036,2018931848,Korean
50143605,NEPALI MOMO CAFE,Queens,7418,37TH RD,11372,3477384199,Asian/Asian Fusion
50072375,NORA THAI,Brooklyn,176,NORTH 9 STREET,11211,7183021599,Thai
50033770,TASTY AND CO,Queens,9419,63RD DR,11374,7188972288,Chinese/Japanese
50105437,SWEETGREEN,Manhattan,1740,BROADWAY,10019,9176871157,Salads
50169439,LIOPO PICA POLLO,Bronx,744,EAST TREMONT AVENUE,10457,3475005636,Mexican
50156262,DONER HAUS,Queens,3115,30TH AVE,11102,6467849478,German
50113656,FLOWER DRUM HOUSE,Queens,2921,ASTORIA BLVD,11102,7189165594,Chinese
50133208,DRAGON STAR,Bronx,670,EAST 233 STREET,10466,7183255564,Chinese
50119429,MAE MAE CAFE,Bronx,2417,3 AVENUE,10451,9179367969,Vegetarian
50128391,NEW TOMO JAPANESE CUISINE,Queens,8612A,37TH AVE,11372,7182056222,Japanese
41704736,SUBWAY,Queens,3711,35 AVENUE,11101,7184334060,Sandwiches
41612260,TROPICAL RESTAURANT,Queens,88-18/20,JAMAICA AVENUE,11421,7188468816,Mediterranean
40395343,FELIX,Manhattan,340,WEST BROADWAY,10013,2124310021,French
50011918,BELLA DONNA PIZZA,Queens,6091,54TH ST,11378,7184971744,Pizza
40962335,THE SOUL SPOT,Brooklyn,302,ATLANTIC AVENUE,11201,7185969933,Soul Food
50132255,THE CHUBBY CRAB,Manhattan,77,CHRYSTIE STREET,10002,6468478239,Seafood
50125236,THINK COFFEE,Manhattan,246,5 AVENUE,10001,9176922571,American
41250498,NO. 1 CHINESE RESTAURANT,Bronx,7,WEST TREMONT AVENUE,10453,7182945294,Chinese
50133003,WAI PO REN JIA,Queens,13677,41ST AVE,11355,7189390008,Chinese
50115431,RED PIPES CAFE,Queens,7160,AUSTIN ST,11375,7183743436,Coffee/Tea
50105992,DOSA DELIGHT,Queens,3566,73RD ST,11372,7183971000,Indian
50058155,COCINA LATINA,Manhattan,4986,BROADWAY,10034,2125442223,Latin American
50012822,NOCHES DE COLUMBIA,Queens,7102,KISSENA BLVD,11367,7182686352,Latin American
50107563,CHICKN ROTONDA,Queens,6458,DRY HARBOR RD,11379,9294132645,Filipino
50128210,KALYE,Manhattan,251,BROOME STREET,10002,6467994651,Filipino
41595491,JOLOFF,Brooklyn,1168,BEDFORD AVENUE,11216,7182300523,African
41713066,KASHKAVAL GARDEN,Manhattan,852,9 AVENUE,10019,2122451758,Mediterranean
50089281,CHAMA MAMA,Manhattan,147-149,W 14TH ST,10011,6466102815,Middle Eastern
50005277,PIZZA VINO,Queens,,JFK INTERNATIONAL AIRPORT,11430,9292250815,Pizza
50106152,CHARM BAR,Brooklyn,448,DEAN STREET,11217,6462266232,Caribbean
50128784,SUBWAY,Queens,6979,GRAND AVE,11378,9179292932,Sandwiches
50057959,FIVE BOROUGH FOOD HALL,Queens,,JFK INTERNATIONAL AIRPORT,11430,34788000,Other
50117478,SUNSET BAGELS,Brooklyn,8624,5 AVENUE,11209,7188228233,American
50142575,CAMP CAMP BBQ,Queens,14226,ROOSEVELT AVE,11354,7187990799,Chinese
50131460,IT-ITALIAN TRATTORIA,Manhattan,530,7 AVENUE,10018,9174190465,Italian
50145527,KUM KAU RESTAURANT,Brooklyn,463,MYRTLE AVENUE,11205,2039105932,Chinese
41406255,"TACO BELL, KFC",Manhattan,3645,BROADWAY,10031,2124919151,Chicken
50130631,Yong Sheng Garden Chinese Restaurant,Manhattan,2825,FRDRK DGLSS BLVD,,2128622702,Chinese
50164695,DARJEELING KITCHEN & CAFE,Queens,3112,36TH AVE,11106,9172159407,Asian/Asian Fusion
50134432,NANA'S KITCHEN,Queens,9001,31ST AVE,11369,2128378494,Latin American
50074402,MEGUMI,Brooklyn,5102,AVENUE U,11234,9084321527,Chinese
50123497,EAT & BITE,Queens,17951,HILLSIDE AVE,11432,8608051462,Chicken
50016803,HUA RONG,Queens,8323,BROADWAY,11373,7187601027,Chinese
50148333,YGF MALATANG,Manhattan,92,3 AVENUE,10003,6468608838,Chinese
41385076,TEN TAN,Bronx,3507,DEKALB AVENUE,10467,7182318883,Chinese
50087949,GOOD TASTE GARDEN,Bronx,863,EAST 149 STREET,10455,7189939367,Chinese
50142911,PATIS BAKERY,Brooklyn,266,KINGSTON AVENUE,11213,2127489364,Jewish/Kosher
40370939,MANDUCATIS,Queens,13-27,JACKSON AVENUE,11101,7187294602,Italian
