id,inspection_id,code,description,critical_flag
1,1,,,Not Applicable
2,2,09B,Thawing procedure improper.,Not Critical
3,3,,,Not Applicable
4,4,09B,Thawing procedure improper.,Not Critical
5,5,,,Not Applicable
6,6,02B,Hot TCS food item not held at or above 140 F.,Critical
7,7,09B,Thawing procedure improper.,Not Critical
8,8,09B,Thawing procedure improper.,Not Critical
9,9,02B,Hot TCS food item not held at or above 140 F.,Critical
10,10,,,Not Applicable
11,11,,,Not Applicable
12,12,04M,Live roaches in facility's food or non-food area.,Critical
13,13,02B,Hot TCS food item not held at or above 140 F.,Critical
14,14,,,Not Applicable
15,15,,,Not Applicable
16,16,02B,Hot TCS food item not held at or above 140 F.,Critical
17,17,04M,Live roaches in facility's food or non-food area.,Critical
18,18,09B,Thawing procedure improper.,Not Critical
19,19,,,Not Applicable
20,20,02B,Hot TCS food item not held at or above 140 F.,Critical
21,21,09B,Thawing procedure improper.,Not Critical
22,22,,,Not Applicable
23,23,,,Not Applicable
24,24,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
25,25,09B,Thawing procedure improper.,Not Critical
26,26,,,Not Applicable
27,27,04M,Live roaches in facility's food or non-food area.,Critical
28,28,20-06,Current letter grade or Grade Pending card not posted,Not Critical
29,29,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
30,30,02B,Hot TCS food item not held at or above 140 F.,Critical
31,31,,,Not Applicable
32,32,02B,Hot TCS food item not held at or above 140 F.,Critical
33,33,09B,Thawing procedure improper.,Not Critical
34,34,09B,Thawing procedure improper.,Not Critical
35,35,09B,Thawing procedure improper.,Not Critical
36,36,09B,Thawing procedure improper.,Not Critical
37,37,02B,Hot TCS food item not held at or above 140 F.,Critical
38,38,02B,Hot TCS food item not held at or above 140 F.,Critical
39,39,,,Not Applicable
40,40,02B,Hot TCS food item not held at or above 140 F.,Critical
41,41,02B,Hot TCS food item not held at or above 140 F.,Critical
42,42,,,Not Applicable
43,43,09B,Thawing procedure improper.,Not Critical
44,44,02B,Hot TCS food item not held at or above 140 F.,Critical
45,45,,,Not Applicable
46,46,02B,Hot TCS food item not held at or above 140 F.,Critical
47,47,02B,Hot TCS food item not held at or above 140 F.,Critical
48,48,02B,Hot TCS food item not held at or above 140 F.,Critical
49,49,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
50,50,,,Not Applicable
51,51,02B,Hot TCS food item not held at or above 140 F.,Critical
52,52,02B,Hot TCS food item not held at or above 140 F.,Critical
53,53,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
54,54,,,Not Applicable
55,55,02B,Hot TCS food item not held at or above 140 F.,Critical
56,56,15-21,"Flavored tobacco products sold, offered for sale",Not Applicable
57,57,04M,Live roaches in facility's food or non-food area.,Critical
58,58,,,Not Applicable
59,59,,,Not Applicable
60,60,02B,Hot TCS food item not held at or above 140 F.,Critical
61,61,02B,Hot TCS food item not held at or above 140 F.,Critical
62,62,,,Not Applicable
63,63,,,Not Applicable
64,64,20-06,Current letter grade or Grade Pending card not posted,Not Critical
65,65,02B,Hot TCS food item not held at or above 140 F.,Critical
66,66,02B,Hot TCS food item not held at or above 140 F.,Critical
67,67,02B,Hot TCS food item not held at or above 140 F.,Critical
68,68,,,Not Applicable
69,69,04M,Live roaches in facility's food or non-food area.,Critical
70,70,02B,Hot TCS food item not held at or above 140 F.,Critical
71,71,,,Not Applicable
72,72,02B,Hot TCS food item not held at or above 140 F.,Critical
73,73,,,Not Applicable
74,74,09B,Thawing procedure improper.,Not Critical
75,75,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
76,76,02B,Hot TCS food item not held at or above 140 F.,Critical
77,77,,,Not Applicable
78,78,02B,Hot TCS food item not held at or above 140 F.,Critical
79,79,02B,Hot TCS food item not held at or above 140 F.,Critical
80,80,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
81,81,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical
82,82,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
83,83,20-06,Current letter grade or Grade Pending card not posted,Not Critical
84,84,02B,Hot TCS food item not held at or above 140 F.,Critical
85,85,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
86,86,,,Not Applicable
87,87,,,Not Applicable
88,88,,,Not Applicable
89,89,09B,Thawing procedure improper.,Not Critical
90,90,,,Not Applicable
91,91,02B,Hot TCS food item not held at or above 140 F.,Critical
92,92,,,Not Applicable
93,93,,,Not Applicable
94,94,,,Not Applicable
95,95,04M,Live roaches in facility's food or non-food area.,Critical
96,96,02B,Hot TCS food item not held at or above 140 F.,Critical
97,97,02B,Hot TCS food item not held at or above 140 F.,Critical
98,98,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical
99,99,,,Not Applicable
100,100,09B,Thawing procedure improper.,Not Critical
101,101,02B,Hot TCS food item not held at or above 140 F.,Critical
102,102,28-04,Equipment used for ROP not approved by the Department,Not Critical
103,103,20-08,Failure to post or conspicuously post healthy eating information,Not Critical
104,104,02B,Hot TCS food item not held at or above 140 F.,Critical
105,105,04M,Live roaches in facility's food or non-food area.,Critical
106,106,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical
107,107,02B,Hot TCS food item not held at or above 140 F.,Critical
108,108,04M,Live roaches in facility's food or non-food area.,Critical
109,109,,,Not Applicable
110,110,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
111,111,09B,Thawing procedure improper.,Not Critical
112,112,04M,Live roaches in facility's food or non-food area.,Critical
113,113,09B,Thawing procedure improper.,Not Critical
114,114,04M,Live roaches in facility's food or non-food area.,Critical
115,115,04M,Live roaches in facility's food or non-food area.,Critical
116,116,,,Not Applicable
117,117,,,Not Applicable
118,118,02B,Hot TCS food item not held at or above 140 F.,Critical
119,119,09B,Thawing procedure improper.,Not Critical
120,120,,,Not Applicable
121,121,09B,Thawing procedure improper.,Not Critical
122,122,,,Not Applicable
123,123,,,Not Applicable
124,124,,,Not Applicable
125,125,02B,Hot TCS food item not held at or above 140 F.,Critical
126,126,04M,Live roaches in facility's food or non-food area.,Critical
127,127,,,Not Applicable
128,128,02B,Hot TCS food item not held at or above 140 F.,Critical
129,129,02B,Hot TCS food item not held at or above 140 F.,Critical
130,130,09B,Thawing procedure improper.,Not Critical
131,131,09B,Thawing procedure improper.,Not Critical
132,132,02B,Hot TCS food item not held at or above 140 F.,Critical
133,133,04M,Live roaches in facility's food or non-food area.,Critical
134,134,02B,Hot TCS food item not held at or above 140 F.,Critical
135,135,,,Not Applicable
136,136,,,Not Applicable
137,137,02B,Hot TCS food item not held at or above 140 F.,Critical
138,138,02B,Hot TCS food item not held at or above 140 F.,Critical
139,139,02B,Hot TCS food item not held at or above 140 F.,Critical
140,140,04M,Live roaches in facility's food or non-food area.,Critical
141,141,04M,Live roaches in facility's food or non-food area.,Critical
142,142,09B,Thawing procedure improper.,Not Critical
143,143,09B,Thawing procedure improper.,Not Critical
144,144,,,Not Applicable
145,145,04M,Live roaches in facility's food or non-food area.,Critical
146,146,02B,Hot TCS food item not held at or above 140 F.,Critical
147,147,09B,Thawing procedure improper.,Not Critical
148,148,02B,Hot TCS food item not held at or above 140 F.,Critical
149,149,09B,Thawing procedure improper.,Not Critical
150,150,02B,Hot TCS food item not held at or above 140 F.,Critical
151,151,02B,Hot TCS food item not held at or above 140 F.,Critical
152,152,,,Not Applicable
153,153,,,Not Applicable
154,154,09B,Thawing procedure improper.,Not Critical
155,155,02B,Hot TCS food item not held at or above 140 F.,Critical
156,156,02B,Hot TCS food item not held at or above 140 F.,Critical
157,157,,,Not Applicable
158,158,,,Not Applicable
159,159,02B,Hot TCS food item not held at or above 140 F.,Critical
160,160,09B,Thawing procedure improper.,Not Critical
